,date,RealPotentialGDP
204,2000-01-01,13657.90971844553
205,2000-04-01,13802.557909996083
206,2000-07-01,13940.660485459985
207,2000-10-01,14071.40193345432
208,2001-01-01,14194.982061117891
209,2001-04-01,14311.539722786703
210,2001-07-01,14421.269310856644
211,2001-10-01,14525.2256684961
212,2002-01-01,14624.00334547519
213,2002-04-01,14719.438901074744
214,2002-07-01,14813.102098646215
215,2002-10-01,14905.535686049085
216,2003-01-01,14997.837108045062
217,2003-04-01,15090.807386325983
218,2003-07-01,15183.877363796682
219,2003-10-01,15278.388684793345
220,2004-01-01,15374.838882758811
221,2004-04-01,15472.994124038232
222,2004-07-01,15573.526926169096
223,2004-10-01,15675.558624075442
224,2005-01-01,15775.796136923083
225,2005-04-01,15873.169983958667
226,2005-07-01,15968.843339929685
227,2005-10-01,16062.035941635966
228,2006-01-01,16152.594087556376
229,2006-04-01,16240.797141806725
230,2006-07-01,16324.825212317572
231,2006-10-01,16404.43190398646
232,2007-01-01,16484.888028846122
233,2007-04-01,16566.649925173915
234,2007-07-01,16649.553222510956
235,2007-10-01,16732.836359592024
236,2008-01-01,16815.605755710523
237,2008-04-01,16895.89498163922
238,2008-07-01,16973.238277426874
239,2008-10-01,17046.57639205772
240,2009-01-01,17114.50017798746
241,2009-04-01,17178.410062824227
242,2009-07-01,17238.915827103265
243,2009-10-01,17297.998502211558
244,2010-01-01,17357.90598072023
245,2010-04-01,17419.58971646213
246,2010-07-01,17484.478311341583
247,2010-10-01,17551.856970377874
248,2011-01-01,17621.83311229873
249,2011-04-01,17694.289734496488
250,2011-07-01,17769.091548927314
251,2011-10-01,17845.433170509936
252,2012-01-01,17923.095226368296
253,2012-04-01,18002.35699627026
254,2012-07-01,18082.64574996694
255,2012-10-01,18163.79376867256
256,2013-01-01,18246.42137114204
257,2013-04-01,18329.440468379704
258,2013-07-01,18412.74484097609
259,2013-10-01,18496.9339613381
260,2014-01-01,18582.016790391182
261,2014-04-01,18667.80786379332
262,2014-07-01,18755.21302916832
263,2014-10-01,18843.33814024208
264,2015-01-01,18931.98108998837
265,2015-04-01,19021.10442842243
266,2015-07-01,19110.07094297624
267,2015-10-01,19198.65854737205
268,2016-01-01,19286.92528144557
269,2016-04-01,19375.15066769707
270,2016-07-01,19463.204573454477
271,2016-10-01,19551.31061719399
272,2017-01-01,19640.089472818603
273,2017-04-01,19730.29792327776
274,2017-07-01,19823.602552180768
275,2017-10-01,19919.84185253096
276,2018-01-01,20019.170108155347
277,2018-04-01,20121.719174325484
278,2018-07-01,20226.065825727997
279,2018-10-01,20331.49540934404
280,2019-01-01,20437.92215362585
281,2019-04-01,20545.449540277205
282,2019-07-01,20653.07745811881
283,2019-10-01,20758.053508750327
284,2020-01-01,20861.83925495967
285,2020-04-01,20965.14022286726
286,2020-07-01,21065.72918800921
287,2020-10-01,21167.08999680052
288,2021-01-01,21261.600036399403
289,2021-04-01,21355.977382899266
290,2021-07-01,21454.647379006667
291,2021-10-01,21558.240246488447
292,2022-01-01,21667.693840715187
293,2022-04-01,21780.14110580312
294,2022-07-01,21892.76660831518
295,2022-10-01,22004.679068190035
296,2023-01-01,22116.38
297,2023-04-01,22227.57
298,2023-07-01,22338.77
299,2023-10-01,22452.06
300,2024-01-01,22566.61
301,2024-04-01,22682.66
302,2024-07-01,22800.63
303,2024-10-01,22920.27
304,2025-01-01,23041.94
305,2025-04-01,23164.48
306,2025-07-01,23288.28
307,2025-10-01,23413.13
308,2026-01-01,23537.99
309,2026-04-01,23662.93
310,2026-07-01,23787.67
311,2026-10-01,23912.24
312,2027-01-01,24037.13
313,2027-04-01,24160.85
314,2027-07-01,24284.17
315,2027-10-01,24407.17
316,2028-01-01,24529.51
317,2028-04-01,24652.77
318,2028-07-01,24776.37
319,2028-10-01,24900.25
320,2029-01-01,25024.24
321,2029-04-01,25148.48
322,2029-07-01,25272.42
323,2029-10-01,25395.75
324,2030-01-01,25518.42
325,2030-04-01,25640.5
326,2030-07-01,25762.3
327,2030-10-01,25883.92
328,2031-01-01,26005.13
329,2031-04-01,26126.15
330,2031-07-01,26246.97
331,2031-10-01,26367.56
332,2032-01-01,26487.91
333,2032-04-01,26608.15
334,2032-07-01,26728.19
335,2032-10-01,26848.01
336,2033-01-01,26967.67
337,2033-04-01,27087.21
338,2033-07-01,27206.7
339,2033-10-01,27326.18
340,2034-01-01,27445.78
341,2034-04-01,27565.36
342,2034-07-01,27684.89
343,2034-10-01,27804.37
