date,ConsumerPriceIndexAllItems,FEDRates,GDP,InflationConsumerPrice,MedianConsumerPriceIndex,RealGDP,RealGDPPerCapita,RealPotentialGDP,UnemployemenrRate
1969-10-01,0.539083557951485,9.0,1038.147,5.46238620028745,5.01465339985201,5308.556,26076.0,5258.881293630155,3.7
1969-11-01,0.536193029490619,8.85,1038.147,5.46238620028745,5.01465339985201,5308.556,26076.0,5258.881293630155,3.5
1969-12-01,0.533333333333318,8.97,1038.147,5.46238620028745,5.01465339985201,5308.556,26076.0,5258.881293630155,3.5
1970-01-01,0.265251989389922,8.98,1051.2,5.83825533848251,5.01465339985201,5300.652,25973.0,5304.070427236833,3.9
1970-02-01,0.5291005291005311,8.98,1051.2,5.83825533848251,5.01465339985201,5300.652,25973.0,5304.070427236833,4.2
1970-03-01,0.5263157894736861,7.76,1051.2,5.83825533848251,5.01465339985201,5300.652,25973.0,5304.070427236833,4.4
1970-04-01,0.785340314136129,8.1,1067.375,5.83825533848251,5.01465339985201,5308.164,25929.0,5347.137426621308,4.6
1970-05-01,0.259740259740261,7.95,1067.375,5.83825533848251,5.01465339985201,5308.164,25929.0,5347.137426621308,4.8
1970-06-01,0.518134715025909,7.61,1067.375,5.83825533848251,5.01465339985201,5308.164,25929.0,5347.137426621308,4.9
1970-07-01,0.515463917525775,7.21,1086.059,5.83825533848251,5.01465339985201,5357.077,26079.0,5389.231531937598,5.0
1970-08-01,0.0,6.62,1086.059,5.83825533848251,5.01465339985201,5357.077,26079.0,5389.231531937598,5.1
1970-09-01,0.512820512820515,6.29,1086.059,5.83825533848251,5.01465339985201,5357.077,26079.0,5389.231531937598,5.4
1970-10-01,0.5102040816326551,6.2,1088.608,5.83825533848251,5.01465339985201,5299.672,25710.0,5431.208643669215,5.5
1970-11-01,0.5076142131979551,5.6,1088.608,5.83825533848251,5.01465339985201,5299.672,25710.0,5431.208643669215,5.9
1970-12-01,0.5050505050505071,4.9,1088.608,5.83825533848251,5.01465339985201,5299.672,25710.0,5431.208643669215,6.1
