realtime_start,realtime_end,date,value
2025-01-25,2025-01-25,2022-10-01,22004.679068190035
2025-01-25,2025-01-25,2023-01-01,22116.38
2025-01-25,2025-01-25,2023-04-01,22227.57
2025-01-25,2025-01-25,2023-07-01,22338.77
2025-01-25,2025-01-25,2023-10-01,22452.06
2025-01-25,2025-01-25,2024-01-01,22566.61
2025-01-25,2025-01-25,2024-04-01,22682.66
2025-01-25,2025-01-25,2024-07-01,22800.63
2025-01-25,2025-01-25,2024-10-01,22920.27
2025-01-25,2025-01-25,2025-01-01,23041.94
2025-01-25,2025-01-25,2025-04-01,23164.48
2025-01-25,2025-01-25,2025-07-01,23288.28
2025-01-25,2025-01-25,2025-10-01,23413.13
2025-01-25,2025-01-25,2026-01-01,23537.99
2025-01-25,2025-01-25,2026-04-01,23662.93
2025-01-25,2025-01-25,2026-07-01,23787.67
2025-01-25,2025-01-25,2026-10-01,23912.24
2025-01-25,2025-01-25,2027-01-01,24037.13
2025-01-25,2025-01-25,2027-04-01,24160.85
2025-01-25,2025-01-25,2027-07-01,24284.17
2025-01-25,2025-01-25,2027-10-01,24407.17
2025-01-25,2025-01-25,2028-01-01,24529.51
2025-01-25,2025-01-25,2028-04-01,24652.77
2025-01-25,2025-01-25,2028-07-01,24776.37
2025-01-25,2025-01-25,2028-10-01,24900.25
2025-01-25,2025-01-25,2029-01-01,25024.24
2025-01-25,2025-01-25,2029-04-01,25148.48
2025-01-25,2025-01-25,2029-07-01,25272.42
2025-01-25,2025-01-25,2029-10-01,25395.75
2025-01-25,2025-01-25,2030-01-01,25518.42
2025-01-25,2025-01-25,2030-04-01,25640.5
2025-01-25,2025-01-25,2030-07-01,25762.3
2025-01-25,2025-01-25,2030-10-01,25883.92
2025-01-25,2025-01-25,2031-01-01,26005.13
2025-01-25,2025-01-25,2031-04-01,26126.15
2025-01-25,2025-01-25,2031-07-01,26246.97
2025-01-25,2025-01-25,2031-10-01,26367.56
2025-01-25,2025-01-25,2032-01-01,26487.91
2025-01-25,2025-01-25,2032-04-01,26608.15
2025-01-25,2025-01-25,2032-07-01,26728.19
2025-01-25,2025-01-25,2032-10-01,26848.01
2025-01-25,2025-01-25,2033-01-01,26967.67
2025-01-25,2025-01-25,2033-04-01,27087.21
2025-01-25,2025-01-25,2033-07-01,27206.7
2025-01-25,2025-01-25,2033-10-01,27326.18
2025-01-25,2025-01-25,2034-01-01,27445.78
2025-01-25,2025-01-25,2034-04-01,27565.36
2025-01-25,2025-01-25,2034-07-01,27684.89
2025-01-25,2025-01-25,2034-10-01,27804.37
