realtime_start,realtime_end,date,value
2025-01-25,2025-01-25,1976-01-01,0.18018018018018103
2025-01-25,2025-01-25,1976-02-01,0.359712230215829
2025-01-25,2025-01-25,1976-03-01,0.179211469534051
2025-01-25,2025-01-25,1976-04-01,0.357781753130592
2025-01-25,2025-01-25,1976-05-01,0.7130124777183391
2025-01-25,2025-01-25,1976-06-01,0.530973451327436
2025-01-25,2025-01-25,1976-07-01,0.5281690140845089
2025-01-25,2025-01-25,1976-08-01,0.525394045534141
2025-01-25,2025-01-25,1976-09-01,0.34843205574913
2025-01-25,2025-01-25,1976-10-01,0.5208333333333359
2025-01-25,2025-01-25,1976-11-01,0.17271157167530302
2025-01-25,2025-01-25,1976-12-01,0.344827586206898
2025-01-25,2025-01-25,1977-01-01,0.515463917525775
2025-01-25,2025-01-25,1977-02-01,1.02564102564103
2025-01-25,2025-01-25,1977-03-01,0.676818950930618
2025-01-25,2025-01-25,1977-04-01,0.840336134453785
2025-01-25,2025-01-25,1977-05-01,0.500000000000002
2025-01-25,2025-01-25,1977-06-01,0.6633499170812629
2025-01-25,2025-01-25,1977-07-01,0.4942339373970371
2025-01-25,2025-01-25,1977-08-01,0.32786885245901803
2025-01-25,2025-01-25,1977-09-01,0.326797385620916
2025-01-25,2025-01-25,1977-10-01,0.32573289902280295
2025-01-25,2025-01-25,1977-11-01,0.487012987012989
2025-01-25,2025-01-25,1977-12-01,0.32310177705977505
2025-01-25,2025-01-25,1978-01-01,0.6441223832528
2025-01-25,2025-01-25,1978-02-01,0.6400000000000029
2025-01-25,2025-01-25,1978-03-01,0.7949125596184449
2025-01-25,2025-01-25,1978-04-01,0.788643533123032
2025-01-25,2025-01-25,1978-05-01,0.938967136150239
2025-01-25,2025-01-25,1978-06-01,1.08527131782946
2025-01-25,2025-01-25,1978-07-01,0.7668711656441751
2025-01-25,2025-01-25,1978-08-01,0.4566210045662121
2025-01-25,2025-01-25,1978-09-01,0.7575757575757409
2025-01-25,2025-01-25,1978-10-01,0.902255639097748
2025-01-25,2025-01-25,1978-11-01,0.44709388971684205
2025-01-25,2025-01-25,1978-12-01,0.445103857566767
2025-01-25,2025-01-25,1979-01-01,0.8862629246676551
2025-01-25,2025-01-25,1979-02-01,1.1713030746705602
2025-01-25,2025-01-25,1979-03-01,1.01302460202605
2025-01-25,2025-01-25,1979-04-01,1.1461318051576
2025-01-25,2025-01-25,1979-05-01,1.27478753541075
2025-01-25,2025-01-25,1979-06-01,1.11888111888112
2025-01-25,2025-01-25,1979-07-01,1.1065006915629398
2025-01-25,2025-01-25,1979-08-01,0.95759233926129
2025-01-25,2025-01-25,1979-09-01,1.0840108401084099
2025-01-25,2025-01-25,1979-10-01,0.8042895442359109
2025-01-25,2025-01-25,1979-11-01,0.930851063829791
2025-01-25,2025-01-25,1979-12-01,1.0540184453228
