ConsumerPriceIndexAllItems,GDP,InflationConsumerPrice,MedianConsumerPriceIndex,RealGDP,RealGDPPerCapita,RealPotentialGDP,UnemployemenrRate
0.6153846153846179,819.638,3.0150753768844,5.01465339985201,4788.254,24321.0,4575.410171895527,3.8
0.0,819.638,3.0150753768844,5.01465339985201,4788.254,24321.0,4575.410171895527,3.7
0.611620795107036,833.302,3.0150753768844,5.01465339985201,4827.537,24446.0,4624.436665322361,3.7
0.0,833.302,3.0150753768844,5.01465339985201,4827.537,24446.0,4624.436665322361,3.6
0.0,833.302,3.0150753768844,5.01465339985201,4827.537,24446.0,4624.436665322361,3.8
0.0,844.17,2.77278562259309,5.01465339985201,4870.299,24602.0,4675.219679762707,3.9
0.0,844.17,2.77278562259309,5.01465339985201,4870.299,24602.0,4675.219679762707,3.8
0.303951367781156,844.17,2.77278562259309,5.01465339985201,4870.299,24602.0,4675.219679762707,3.8
0.3030303030303039,848.983,2.77278562259309,5.01465339985201,4873.287,24556.0,4727.676231784834,3.8
0.302114803625359,848.983,2.77278562259309,5.01465339985201,4873.287,24556.0,4727.676231784834,3.8
0.30120481927711,848.983,2.77278562259309,5.01465339985201,4873.287,24556.0,4727.676231784834,3.9
0.3003003003003019,865.233,2.77278562259309,5.01465339985201,4919.392,24719.0,4781.42211583471,3.8
0.299401197604792,865.233,2.77278562259309,5.01465339985201,4919.392,24719.0,4781.42211583471,3.8
0.2985074626865679,865.233,2.77278562259309,5.01465339985201,4919.392,24719.0,4781.42211583471,3.8
0.297619047619049,881.439,2.77278562259309,5.01465339985201,4956.477,24836.0,4836.595272941184,4.0
0.2967359050445119,881.439,2.77278562259309,5.01465339985201,4956.477,24836.0,4836.595272941184,3.9
0.295857988165682,881.439,2.77278562259309,5.01465339985201,4956.477,24836.0,4836.595272941184,3.8
0.5899705014749289,909.387,4.27179615288537,5.01465339985201,5057.553,25288.0,4891.940357443346,3.7
0.293255131964811,909.387,4.27179615288537,5.01465339985201,5057.553,25288.0,4891.940357443346,3.8
0.292397660818715,909.387,4.27179615288537,5.01465339985201,5057.553,25288.0,4891.940357443346,3.7
