antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ConsumerPriceIndexAllItems_Low'}),frozenset({'UnemployemenrRate_Low'}),0.32978723404255317,0.3546099290780142,0.11938534278959811,0.3620071684587814,1.0208602150537636,1.0,0.002439515114933871,1.0115945493664833,0.03048876316203067,0.2112970711297071,0.011461656622946974,0.349336917562724
frozenset({'UnemployemenrRate_Low'}),frozenset({'ConsumerPriceIndexAllItems_Low'}),0.3546099290780142,0.32978723404255317,0.11938534278959811,0.33666666666666667,1.0208602150537636,1.0,0.002439515114933871,1.01037100395595,0.03166140789903186,0.2112970711297071,0.010264550264550304,0.349336917562724
frozenset({'ConsumerPriceIndexAllItems_Low'}),frozenset({'UnemployemenrRate_Medium'}),0.32978723404255317,0.31678486997635935,0.10638297872340426,0.32258064516129037,1.0182956186807897,1.0,0.0019113726673708614,1.0085556681301362,0.02680776014109354,0.19693654266958427,0.008483089630539172,0.3292007703418392
frozenset({'UnemployemenrRate_Medium'}),frozenset({'ConsumerPriceIndexAllItems_Low'}),0.31678486997635935,0.32978723404255317,0.10638297872340426,0.33582089552238803,1.0182956186807897,1.0,0.0019113726673708614,1.0090843891943582,0.026297577854671347,0.19693654266958427,0.00900260601753138,0.3292007703418392
frozenset({'ConsumerPriceIndexAllItems_Medium'}),frozenset({'GDP_Low'}),0.32978723404255317,0.32978723404255317,0.11702127659574468,0.3548387096774194,1.0759625390218523,1.0,0.008261656858306946,1.0388297872340426,0.10533910533910558,0.21568627450980393,0.03737839221710196,0.3548387096774194
frozenset({'GDP_Low'}),frozenset({'ConsumerPriceIndexAllItems_Medium'}),0.32978723404255317,0.32978723404255317,0.11702127659574468,0.3548387096774194,1.0759625390218523,1.0,0.008261656858306946,1.0388297872340426,0.10533910533910558,0.21568627450980393,0.03737839221710196,0.3548387096774194
frozenset({'GDP_Medium'}),frozenset({'ConsumerPriceIndexAllItems_Medium'}),0.32978723404255317,0.32978723404255317,0.13238770685579196,0.4014336917562724,1.217250549196439,1.0,0.02362808711835422,1.1196967766594472,0.26629818594104326,0.25112107623318386,0.10690106389031126,0.4014336917562724
frozenset({'ConsumerPriceIndexAllItems_Medium'}),frozenset({'GDP_Medium'}),0.32978723404255317,0.32978723404255317,0.13238770685579196,0.4014336917562724,1.217250549196439,1.0,0.02362808711835422,1.1196967766594472,0.26629818594104326,0.25112107623318386,0.10690106389031126,0.4014336917562724
frozenset({'InflationConsumerPrice_Medium'}),frozenset({'ConsumerPriceIndexAllItems_Medium'}),0.3262411347517731,0.32978723404255317,0.13238770685579196,0.40579710144927533,1.2304815334268349,1.0,0.024797545395100845,1.1279190451478984,0.2780075187969924,0.25282167042889386,0.11341154819415687,0.4036153966027739
frozenset({'ConsumerPriceIndexAllItems_Medium'}),frozenset({'InflationConsumerPrice_Medium'}),0.32978723404255317,0.3262411347517731,0.13238770685579196,0.4014336917562724,1.2304815334268349,1.0,0.024797545395100845,1.1256210982290737,0.2794784580498866,0.25282167042889386,0.11160158460667798,0.4036153966027739
frozenset({'ConsumerPriceIndexAllItems_Medium'}),frozenset({'MedianConsumerPriceIndex_Medium'}),0.32978723404255317,0.6252955082742316,0.2198581560283688,0.6666666666666667,1.066162570888469,1.0,0.013643679895377542,1.1241134751773054,0.09259259259259289,0.2990353697749196,0.11041009463722427,0.5091367359798362
frozenset({'MedianConsumerPriceIndex_Medium'}),frozenset({'ConsumerPriceIndexAllItems_Medium'}),0.6252955082742316,0.32978723404255317,0.2198581560283688,0.3516068052930057,1.066162570888469,1.0,0.013643679895377542,1.0336517585757707,0.16561514195583651,0.2990353697749196,0.032556185675278376,0.5091367359798362
frozenset({'RealGDP_Low'}),frozenset({'ConsumerPriceIndexAllItems_Medium'}),0.32978723404255317,0.32978723404255317,0.11702127659574468,0.3548387096774194,1.0759625390218523,1.0,0.008261656858306946,1.0388297872340426,0.10533910533910558,0.21568627450980393,0.03737839221710196,0.3548387096774194
frozenset({'ConsumerPriceIndexAllItems_Medium'}),frozenset({'RealGDP_Low'}),0.32978723404255317,0.32978723404255317,0.11702127659574468,0.3548387096774194,1.0759625390218523,1.0,0.008261656858306946,1.0388297872340426,0.10533910533910558,0.21568627450980393,0.03737839221710196,0.3548387096774194
frozenset({'ConsumerPriceIndexAllItems_Medium'}),frozenset({'RealGDP_Medium'}),0.32978723404255317,0.32978723404255317,0.13238770685579196,0.4014336917562724,1.217250549196439,1.0,0.02362808711835422,1.1196967766594472,0.26629818594104326,0.25112107623318386,0.10690106389031126,0.4014336917562724
frozenset({'RealGDP_Medium'}),frozenset({'ConsumerPriceIndexAllItems_Medium'}),0.32978723404255317,0.32978723404255317,0.13238770685579196,0.4014336917562724,1.217250549196439,1.0,0.02362808711835422,1.1196967766594472,0.26629818594104326,0.25112107623318386,0.10690106389031126,0.4014336917562724
frozenset({'RealGDPPerCapita_Low'}),frozenset({'ConsumerPriceIndexAllItems_Medium'}),0.32978723404255317,0.32978723404255317,0.11702127659574468,0.3548387096774194,1.0759625390218523,1.0,0.008261656858306946,1.0388297872340426,0.10533910533910558,0.21568627450980393,0.03737839221710196,0.3548387096774194
frozenset({'ConsumerPriceIndexAllItems_Medium'}),frozenset({'RealGDPPerCapita_Low'}),0.32978723404255317,0.32978723404255317,0.11702127659574468,0.3548387096774194,1.0759625390218523,1.0,0.008261656858306946,1.0388297872340426,0.10533910533910558,0.21568627450980393,0.03737839221710196,0.3548387096774194
frozenset({'RealGDPPerCapita_Medium'}),frozenset({'ConsumerPriceIndexAllItems_Medium'}),0.32978723404255317,0.32978723404255317,0.13120567375886524,0.39784946236559143,1.2063822407214708,1.0,0.022446054021427506,1.1130319148936172,0.2552552552552554,0.24832214765100674,0.10155316606929518,0.39784946236559143
frozenset({'ConsumerPriceIndexAllItems_Medium'}),frozenset({'RealGDPPerCapita_Medium'}),0.32978723404255317,0.32978723404255317,0.13120567375886524,0.39784946236559143,1.2063822407214708,1.0,0.022446054021427506,1.1130319148936172,0.2552552552552554,0.24832214765100674,0.10155316606929518,0.39784946236559143
frozenset({'ConsumerPriceIndexAllItems_Medium'}),frozenset({'RealPotentialGDP_Low'}),0.32978723404255317,0.32978723404255317,0.11702127659574468,0.3548387096774194,1.0759625390218523,1.0,0.008261656858306946,1.0388297872340426,0.10533910533910558,0.21568627450980393,0.03737839221710196,0.3548387096774194
frozenset({'RealPotentialGDP_Low'}),frozenset({'ConsumerPriceIndexAllItems_Medium'}),0.32978723404255317,0.32978723404255317,0.11702127659574468,0.3548387096774194,1.0759625390218523,1.0,0.008261656858306946,1.0388297872340426,0.10533910533910558,0.21568627450980393,0.03737839221710196,0.3548387096774194
frozenset({'ConsumerPriceIndexAllItems_Medium'}),frozenset({'RealPotentialGDP_Medium'}),0.32978723404255317,0.32978723404255317,0.13238770685579196,0.4014336917562724,1.217250549196439,1.0,0.02362808711835422,1.1196967766594472,0.26629818594104326,0.25112107623318386,0.10690106389031126,0.4014336917562724
frozenset({'RealPotentialGDP_Medium'}),frozenset({'ConsumerPriceIndexAllItems_Medium'}),0.32978723404255317,0.32978723404255317,0.13238770685579196,0.4014336917562724,1.217250549196439,1.0,0.02362808711835422,1.1196967766594472,0.26629818594104326,0.25112107623318386,0.10690106389031126,0.4014336917562724
frozenset({'ConsumerPriceIndexAllItems_Medium'}),frozenset({'UnemployemenrRate_High'}),0.32978723404255317,0.32860520094562645,0.11347517730496454,0.34408602150537637,1.047110698537944,1.0,0.0051053769931090065,1.0236019067550286,0.06712962962962973,0.2082429501084599,0.02305770104497963,0.3447048812562853
frozenset({'UnemployemenrRate_High'}),frozenset({'ConsumerPriceIndexAllItems_Medium'}),0.32860520094562645,0.32978723404255317,0.11347517730496454,0.34532374100719426,1.047110698537944,1.0,0.0051053769931090065,1.023731587561375,0.06701144366197193,0.2082429501084599,0.023181454836131158,0.3447048812562853
frozenset({'UnemployemenrRate_Low'}),frozenset({'ConsumerPriceIndexAllItems_Medium'}),0.3546099290780142,0.32978723404255317,0.11938534278959811,0.33666666666666667,1.0208602150537636,1.0,0.002439515114933871,1.01037100395595,0.03166140789903186,0.2112970711297071,0.010264550264550304,0.349336917562724
frozenset({'ConsumerPriceIndexAllItems_Medium'}),frozenset({'UnemployemenrRate_Low'}),0.32978723404255317,0.3546099290780142,0.11938534278959811,0.3620071684587814,1.0208602150537636,1.0,0.002439515114933871,1.0115945493664833,0.03048876316203067,0.2112970711297071,0.011461656622946974,0.349336917562724
frozenset({'GDP_High'}),frozenset({'InflationConsumerPrice_Low'}),0.3404255319148936,0.3333333333333333,0.14184397163120568,0.4166666666666667,1.2500000000000002,1.0,0.028368794326241148,1.1428571428571432,0.303225806451613,0.2666666666666667,0.12500000000000003,0.42109929078014185
frozenset({'InflationConsumerPrice_Low'}),frozenset({'GDP_High'}),0.3333333333333333,0.3404255319148936,0.14184397163120568,0.4255319148936171,1.2500000000000002,1.0,0.028368794326241148,1.1481481481481481,0.3000000000000001,0.2666666666666667,0.12903225806451624,0.42109929078014185
frozenset({'GDP_High'}),frozenset({'InflationConsumerPrice_Medium'}),0.3404255319148936,0.3262411347517731,0.1276595744680851,0.375,1.1494565217391304,1.0,0.01659876263769426,1.0780141843971631,0.197132616487455,0.23684210526315783,0.07236842105263154,0.38315217391304346
frozenset({'InflationConsumerPrice_Medium'}),frozenset({'GDP_High'}),0.3262411347517731,0.3404255319148936,0.1276595744680851,0.3913043478260869,1.1494565217391304,1.0,0.01659876263769426,1.0835866261398175,0.19298245614035067,0.23684210526315783,0.07713884992987373,0.38315217391304346
