PC1,PC2,PC3,FEDRates,Cluster
-2.17432533042887,0.6835700386839973,-1.2648875674656843,9.19,1
-2.097184980185101,0.1713738493238362,-1.1988983689094368,9.15,1
-2.1791393371238152,0.6673156756599274,-1.1544146557889097,9.0,1
-2.176478051281863,0.6685342240149473,-1.265929486674824,8.85,1
-2.1756515041752813,0.66324176246382,-1.2664010193591535,8.97,1
-2.1222381176199616,0.2437549534622543,-1.063501387902123,8.98,1
-2.201237843844956,0.7222093567601212,-0.8534383220285493,8.98,1
-2.202258788839858,0.7104875463470443,-0.7428592809078715,7.76,1
-2.2754615569603227,1.1842180848727522,-0.5892896344035372,8.1,1
-2.125371523050813,0.2049179725861176,-0.5649171324469,7.95,1
-2.200969010672397,0.6798465316085158,-0.4667915998579176,7.61,1
-2.18831570513665,0.6754993030226769,-0.4122111975621325,7.21,1
-2.040242437626334,-0.2817577474876385,-0.4416864644115937,6.62,1
-2.19120332779126,0.6574709907438178,-0.1905706375642337,6.29,1
-2.2038706290051757,0.6451832966689127,-0.1350333585505155,6.2,1
-2.2067737254189166,0.627254064375459,0.0866160289940795,5.6,3
-2.207858555847694,0.6159413186118943,0.1972315157932725,4.9,3
-1.9378349251289928,-0.6702047870033965,-0.1016530080233085,4.14,3
-2.0104563299860287,-0.2052028652324376,-0.0602235895432931,3.72,3
-2.01118723504069,-0.209652319325831,-0.0048083155266937,3.71,3
-2.000937657965228,-0.2048190211049831,-0.0608232634831643,4.16,3
-2.072835565285097,0.2555502755351166,-0.0198065894590781,4.63,3
-2.143840544746126,0.7102020682081607,0.0207006826605811,4.91,3
-1.9881442015769204,-0.2111312942014747,-0.0064143289476747,5.31,3
-1.9888822000760835,-0.2155353282794914,0.0490049917722527,5.57,3
-1.9169537603623927,-0.6669706165286414,-0.0470274042064065,5.55,3
-1.981098195781995,-0.2054532908075788,-0.1178186704764827,5.2,3
-1.9120825544947897,-0.665626178138959,-0.0471944477417239,4.91,3
-2.0534190783730297,0.2393653370925411,0.0334359119406533,4.14,3
-1.8266516899805456,-0.8946076963612793,-0.2274202775149667,3.51,3
-1.9663875312980048,0.0092640029576833,-0.2027013868258142,3.3,3
-1.896635513547374,-0.4464944642430181,-0.1874955594640075,3.83,3
-1.8631462482085708,-0.4341890768793659,-0.2443788583726054,4.17,3
-1.862978019821788,-0.4352662596095029,-0.2444748301353378,4.27,3
-1.8628106002253264,-0.4363382635765154,-0.2445703404953648,4.46,3
-1.9162154817266908,0.014215844399615,-0.2612518829345785,4.55,3
-1.8465721184886743,-0.4317173871045559,-0.3009823734920602,4.81,3
-1.8454949628325048,-0.4294850093047537,-0.3565951782655637,4.87,3
-1.889678752215338,0.0135978392025104,-0.2630873388426381,5.05,3
-1.817961441730247,-0.4182265474927243,-0.4689958961408422,5.06,3
-1.816887373991985,-0.4159743974540855,-0.5246069393036541,5.33,3
-1.9379971541862988,0.2989376210417313,-0.4990713745993153,5.94,1
-2.07444675898682,1.1635082076143033,-0.3662306250166086,6.58,1
-2.1394841615532,1.5890785350316603,-0.3841260693835542,7.09,1
-2.052483569909924,1.1481595309188597,-0.3689476767855345,7.12,1
-2.0501927622172995,1.1426207766340697,-0.4252528517797242,7.84,1
-2.048833700378473,1.133918571435699,-0.4260281761041683,8.49,1
-1.9202204627145305,0.2895738817883132,-0.5568691166677768,10.4,1
-2.376784439705424,3.212997452705224,-0.2964062393261334,10.5,1
-1.9189155200923136,0.2812182071999993,-0.5576135667936681,10.78,1
-2.091565389488669,1.520464305015773,-0.5601457007061764,10.01,1
-2.027763046765614,1.0936726756739312,-0.4865473696034973,10.03,1
-2.027433127573686,1.0824306607054592,-0.4317372798536052,9.95,1
-2.3700192723916387,2.63128884739477,0.0397540329872472,9.65,1
-2.492832738591364,3.408545911633427,0.1648155707293681,8.97,1
-2.487189158817919,3.381539031471553,0.1065976897240801,9.35,1
-2.2330405333125354,1.8055053077512135,-0.0345253966599654,10.51,1
-2.47339763279804,3.344535203855257,0.1025947110938154,11.31,1
-2.3527322846711343,2.544514707542586,0.1987518571156214,11.93,1
-2.3610893900032512,2.525585348420876,0.253269744839034,12.92,1
